"No.","Time","Source","Destination","Protocol","Length","Info"
"1889","2011-01-26 00:22:53.065135","192.168.3.131","224.0.0.252","LLMNR","64","Standard query 0x76f2 A wpad"
"1898","2011-01-26 00:22:53.165267","192.168.3.131","224.0.0.252","LLMNR","64","Standard query 0x76f2 A wpad"
"3982","2011-01-26 00:24:00.336851","172.16.255.1","224.0.0.252","LLMNR","64","Standard query 0x0c35 A wpad"
"3993","2011-01-26 00:24:00.437253","172.16.255.1","224.0.0.252","LLMNR","64","Standard query 0x0c35 A wpad"
"4728","2011-01-26 00:24:15.558623","192.168.1.58","8.8.8.8","DNS","73","Standard query 0xde8f A likeminded.ca"
"4729","2011-01-26 00:24:15.561268","192.168.1.59","8.8.8.8","DNS","75","Standard query 0xf68c A alltransport.ru"
"14683","2013-02-27 03:32:36.185770","192.168.1.210","8.8.8.8","DNS","69","Standard query 0x4d19 A brown.edu"
"15543","2013-02-27 03:32:36.451469","192.168.1.211","8.8.8.8","DNS","74","Standard query 0x74cc A fauzanalfi.com"
"15976","2013-02-27 03:32:36.589043","192.168.1.212","8.8.8.8","DNS","76","Standard query 0x115a A supreetsethi.net"
"30283","2013-02-27 03:32:41.973393","192.168.1.213","8.8.8.8","DNS","72","Standard query 0x3090 A gucenmez.com"
"31039","2013-02-27 03:32:42.161373","192.168.1.214","8.8.8.8","DNS","68","Standard query 0x424d A seedy.dk"
"31274","2013-02-27 03:32:42.200595","192.168.1.215","8.8.8.8","DNS","71","Standard query 0x64ef A 51cdngo.com"
"31467","2013-02-27 03:32:42.271166","192.168.1.216","8.8.8.8","DNS","85","Standard query 0x7643 A simple-health-reports.com"
"32060","2013-02-27 03:32:42.458518","192.168.1.217","8.8.8.8","DNS","79","Standard query 0x0308 A hivelocitymedia.com"
"47426","2013-02-27 03:32:49.275549","192.168.1.218","8.8.8.8","DNS","70","Standard query 0x6bb1 A jabeye.org"
"55391","2013-02-27 03:32:52.167686","192.168.1.219","8.8.8.8","DNS","73","Standard query 0x3acb A ticketbis.com"
"63691","2013-02-27 03:32:55.403586","192.168.1.220","8.8.8.8","DNS","79","Standard query 0x2ca7 A cellularfactory.com"
"79801","2013-02-27 03:33:00.551862","192.168.1.221","8.8.8.8","DNS","68","Standard query 0x86fe A tsksv.ru"
"84240","2013-02-27 03:33:01.964810","fe80::dc32:9062:d777:796c","ff02::1:3","LLMNR","84","Standard query 0xbebe A wpad"
"84241","2013-02-27 03:33:01.965100","172.16.133.40","224.0.0.252","LLMNR","64","Standard query 0xbebe A wpad"
"84653","2013-02-27 03:33:02.064669","fe80::dc32:9062:d777:796c","ff02::1:3","LLMNR","84","Standard query 0xbebe A wpad"
"84656","2013-02-27 03:33:02.064767","172.16.133.40","224.0.0.252","LLMNR","64","Standard query 0xbebe A wpad"
"86332","2013-02-27 03:33:02.541746","192.168.1.222","8.8.8.8","DNS","75","Standard query 0x0fc1 A gaybodyblog.com"
"94546","2013-02-27 03:33:04.748986","fe80::dc32:9062:d777:796c","ff02::1:3","LLMNR","84","Standard query 0x6342 A wpad"
"94547","2013-02-27 03:33:04.749113","172.16.133.40","224.0.0.252","LLMNR","64","Standard query 0x6342 A wpad"
"95093","2013-02-27 03:33:04.849428","fe80::dc32:9062:d777:796c","ff02::1:3","LLMNR","84","Standard query 0x6342 A wpad"
"95094","2013-02-27 03:33:04.849500","172.16.133.40","224.0.0.252","LLMNR","64","Standard query 0x6342 A wpad"
"95347","2013-02-27 03:33:04.916616","192.168.1.223","8.8.8.8","DNS","74","Standard query 0x6168 A datadikdki.net"
"95426","2013-02-27 03:33:04.943051","192.168.1.224","8.8.8.8","DNS","69","Standard query 0x5d66 A mumphi.de"
"98559","2013-02-27 03:33:05.919500","172.16.133.163","224.0.0.252","LLMNR","70","Standard query 0x92ae A gmxwnlajnl"
"98561","2013-02-27 03:33:05.919875","172.16.133.163","224.0.0.252","LLMNR","70","Standard query 0x4ebf A djoncbjcmv"
"98569","2013-02-27 03:33:05.920657","172.16.133.163","224.0.0.252","LLMNR","70","Standard query 0x28da A mptrmkwart"
"98867","2013-02-27 03:33:06.020346","172.16.133.163","224.0.0.252","LLMNR","70","Standard query 0x4ebf A djoncbjcmv"
"98868","2013-02-27 03:33:06.020349","172.16.133.163","224.0.0.252","LLMNR","70","Standard query 0x92ae A gmxwnlajnl"
"98872","2013-02-27 03:33:06.021124","172.16.133.163","224.0.0.252","LLMNR","70","Standard query 0x28da A mptrmkwart"
